name,place,sum_views,pref,geometry,address
沢城みゆき,上市町,1174716.0,富山県,POINT (137.3617155 36.6988446),"上市町, 中新川郡, 富山県, 930-0455, 日本"
デヴィ・スカルノ,浪江町,1169180.0,福島県,POINT (141.0005837 37.4945619),"浪江町, 双葉郡, 福島県, 979-1513, 日本"
岡崎紗絵,名古屋市,1169101.0,愛知県,POINT (136.8998438 35.1851045),"名古屋市, 愛知県, 日本"
小川博,足利市,1164585.0,栃木県,POINT (139.4497731 36.3401914),"足利市, 栃木県, 日本"
小野田紀美,瀬戸内市,1158691.0,岡山県,POINT (134.0926948 34.6647608),"瀬戸内市, 岡山県, 日本"
山﨑賢人,板橋区,1145889.0,東京都,POINT (139.681209 35.774143),"板橋区, 東京都, 日本"
神谷浩史,松戸市,1137890.0,千葉県,POINT (139.903177 35.7879371),"松戸市, 千葉県, 日本"
さかなクン,帯広市,1135614.0,北海道,POINT (143.1966324 42.923809),"帯広市, 十勝総合振興局, 北海道, 日本"
中島みゆき,本巣市,1133590.0,岐阜県,POINT (136.6780554 35.4830261),"本巣市, 岐阜県, 日本"
中島みゆき,札幌市,1133590.0,北海道,POINT (141.3542924 43.061936),"札幌市, 石狩振興局, 北海道, 日本"
中島みゆき,山形市,1133590.0,山形県,POINT (140.3400205 38.2553393),"山形市, 山形県, 日本"
吉川赳,富士宮市,1132606.0,静岡県,POINT (138.6214683 35.2221369),"富士宮市, 静岡県, 日本"
吉岡秀隆,蕨市,1128797.0,埼玉県,POINT (139.6797632 35.8256398),"蕨市, 埼玉県, 日本"
渡辺徹 (俳優),小山市,1126567.0,栃木県,POINT (139.800148 36.3147373),"小山市, 栃木県, 日本"
渡辺徹 (俳優),古河市,1126567.0,茨城県,POINT (139.7553638 36.178025),"古河市, 茨城県, 日本"
山本由伸,備前市,1119103.0,岡山県,POINT (134.1882633 34.744987),"備前市, 岡山県, 日本"
ヒカル (YouTuber),姫路市,1112658.0,兵庫県,POINT (134.6854793 34.8153529),"姫路市, 兵庫県, 日本"
